epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4666.5,0.66002,1.01493,0.40904,0.84833,0.98709,0.48777,0.49567,0.43673,0.9866,0.48743,0.49562,0.39954,0.58205,0.64646,0.38725,0.83138,0.000726312,0.000726312,0.000726312
59,4745.06,0.65714,0.98869,0.40571,0.84474,0.98238,0.49179,0.49605,0.42442,0.98238,0.49179,0.49605,0.39511,0.66448,0.88666,0.39801,0.8504,0.000709809,0.000709809,0.000709809
60,4823.94,0.6474,0.96499,0.40599,0.84523,0.98389,0.49389,0.49585,0.43379,0.98319,0.49318,0.49559,0.39464,0.55309,0.69142,0.38088,0.82985,0.000693305,0.000693305,0.000693305
61,4902.77,0.63489,0.9407,0.39987,0.84577,0.4893,0.48671,0.49646,0.43837,0.48894,0.48635,0.49641,0.41449,0.58322,0.6646,0.38602,0.83252,0.000676802,0.000676802,0.000676802
62,4983.73,0.65391,0.99095,0.40839,0.84607,0.98032,0.49461,0.49566,0.43383,0.98032,0.49461,0.49566,0.41383,0.62993,0.71708,0.40229,0.84442,0.000660299,0.000660299,0.000660299
63,5064.43,0.65804,0.97898,0.40334,0.84518,0.98702,0.48455,0.49617,0.44338,0.98702,0.48455,0.49617,0.40782,0.52746,0.596,0.37303,0.82017,0.000643795,0.000643795,0.000643795
64,5142.99,0.63836,0.94676,0.39486,0.84228,0.9878,0.4883,0.49609,0.44769,0.98708,0.48738,0.49587,0.40029,0.52827,0.63147,0.37551,0.82177,0.000627292,0.000627292,0.000627292
65,5222.62,0.63529,0.95428,0.39654,0.84308,0.98406,0.49085,0.49651,0.43764,0.98371,0.49049,0.49646,0.4008,0.57367,0.7987,0.37796,0.83551,0.000610789,0.000610789,0.000610789
66,5301.99,0.64532,0.95703,0.39231,0.84445,0.98492,0.49246,0.49581,0.43456,0.98456,0.4921,0.49574,0.39484,0.58993,0.68836,0.38338,0.83076,0.000594286,0.000594286,0.000594286
67,5382.57,0.64213,0.97397,0.39645,0.84693,0.48503,0.49102,0.49648,0.44458,0.48503,0.49102,0.49648,0.40577,0.53096,0.6862,0.37628,0.82119,0.000577782,0.000577782,0.000577782
68,5459.58,0.62861,0.93898,0.38625,0.8423,0.98435,0.4891,0.49619,0.42838,0.98399,0.48874,0.49609,0.39525,0.63923,0.86961,0.4079,0.84212,0.000561279,0.000561279,0.000561279
69,5540.18,0.67514,1.00087,0.40207,0.84873,0.48442,0.48779,0.49576,0.42689,0.48406,0.48743,0.49565,0.4059,0.63968,0.77228,0.40445,0.84514,0.000544776,0.000544776,0.000544776
70,5622.29,0.65124,0.9434,0.39242,0.84187,0.98697,0.48313,0.49611,0.4351,0.9866,0.48277,0.49603,0.4047,0.60856,0.72305,0.40015,0.83804,0.000528272,0.000528272,0.000528272
71,5701.12,0.63955,0.94613,0.38966,0.8439,0.98414,0.48348,0.49578,0.44265,0.98414,0.48348,0.49578,0.418,0.58104,0.64397,0.38908,0.83074,0.000511769,0.000511769,0.000511769
72,5781.78,0.63853,0.94179,0.38428,0.84131,0.48501,0.48815,0.4962,0.44313,0.48467,0.48816,0.49612,0.41448,0.57278,0.63645,0.37669,0.82631,0.000495266,0.000495266,0.000495266
73,5860.44,0.62723,0.92396,0.38423,0.83963,0.4767,0.49243,0.49554,0.45181,0.4767,0.49243,0.49554,0.40634,0.48625,0.56862,0.37254,0.81485,0.000478762,0.000478762,0.000478762
74,5937.39,0.63508,0.9586,0.38992,0.84215,0.98267,0.4902,0.49569,0.44458,0.98267,0.4902,0.49569,0.41062,0.53335,0.61758,0.37117,0.8205,0.000462259,0.000462259,0.000462259
75,6016.91,0.63701,0.95427,0.38593,0.84127,0.48812,0.48722,0.49656,0.44434,0.48812,0.48722,0.49656,0.40758,0.53095,0.77613,0.3708,0.82313,0.000445756,0.000445756,0.000445756
76,6095.77,0.62523,0.9269,0.3806,0.83696,0.48574,0.48671,0.49623,0.44521,0.48538,0.48635,0.49612,0.4002,0.53631,0.67745,0.37685,0.82814,0.000429253,0.000429253,0.000429253
77,6174.08,0.587,0.8659,0.36443,0.83354,0.4847,0.48927,0.49632,0.45187,0.48434,0.48891,0.49622,0.41144,0.49971,0.67254,0.35195,0.81612,0.000412749,0.000412749,0.000412749
78,6252.31,0.62518,0.94282,0.37946,0.83869,0.97883,0.49282,0.49564,0.43244,0.97883,0.49282,0.49564,0.39626,0.60766,0.80802,0.38027,0.83696,0.000396246,0.000396246,0.000396246
79,6331.41,0.62494,0.94628,0.37577,0.83931,0.48727,0.48886,0.49653,0.43986,0.48727,0.48886,0.49653,0.40592,0.58118,0.61746,0.36443,0.83259,0.000379743,0.000379743,0.000379743
80,6411.34,0.62785,0.92828,0.37493,0.83904,0.48498,0.49066,0.49638,0.44871,0.48498,0.49066,0.49638,0.3958,0.51518,0.64381,0.35907,0.82181,0.000363239,0.000363239,0.000363239
81,6492.31,0.60462,0.90838,0.36696,0.83716,0.48313,0.49066,0.49611,0.44286,0.48313,0.49066,0.4961,0.40052,0.56097,0.70389,0.36402,0.82671,0.000346736,0.000346736,0.000346736
82,6570.39,0.61295,0.91518,0.36903,0.83772,0.98225,0.48794,0.49609,0.44567,0.98225,0.48794,0.49607,0.40084,0.5333,0.68357,0.36356,0.82339,0.000330233,0.000330233,0.000330233
83,6650.79,0.60413,0.90943,0.36917,0.83829,0.48425,0.49066,0.49584,0.44674,0.4839,0.4903,0.49575,0.40795,0.53573,0.64418,0.36088,0.82242,0.000313729,0.000313729,0.000313729
84,6731.83,0.60879,0.89353,0.36606,0.83787,0.48511,0.48743,0.49637,0.45609,0.48511,0.48743,0.49635,0.41212,0.46739,0.61011,0.34324,0.81276,0.000297226,0.000297226,0.000297226
85,6811.41,0.61718,0.91501,0.36843,0.83651,0.48852,0.48671,0.49634,0.44893,0.48852,0.48671,0.49633,0.40285,0.5094,0.65194,0.35537,0.81826,0.000280723,0.000280723,0.000280723
86,6891.48,0.5913,0.87984,0.3618,0.83451,0.48441,0.49104,0.49614,0.43985,0.48441,0.49104,0.49614,0.40521,0.5818,0.72323,0.36934,0.83212,0.00026422,0.00026422,0.00026422
87,6972.46,0.62459,0.9103,0.37127,0.83748,0.48635,0.48651,0.4961,0.4489,0.48635,0.48651,0.4961,0.40779,0.52705,0.67921,0.35807,0.82141,0.000247716,0.000247716,0.000247716
88,7052.42,0.5947,0.88536,0.36111,0.83359,0.48296,0.48869,0.49572,0.45582,0.48296,0.48869,0.49572,0.41054,0.46924,0.58122,0.34902,0.81252,0.000231213,0.000231213,0.000231213
89,7134.04,0.60085,0.9017,0.3646,0.83276,0.48549,0.48886,0.49583,0.443,0.48549,0.48886,0.49583,0.39661,0.56838,0.65637,0.36433,0.82377,0.00021471,0.00021471,0.00021471
90,7216.42,0.59867,0.88352,0.35972,0.83213,0.4833,0.49102,0.49591,0.44295,0.4833,0.49102,0.49591,0.40643,0.55849,0.67571,0.36519,0.82895,0.000198206,0.000198206,0.000198206
91,7264.8,0.57297,0.84178,0.34957,0.82958,0.98412,0.48994,0.496,0.45122,0.98412,0.48994,0.496,0.40692,0.49126,0.63038,0.3536,0.8174,0.000181703,0.000181703,0.000181703
92,7311.04,0.56702,0.85351,0.3424,0.82913,0.48679,0.48958,0.49636,0.44931,0.48679,0.48958,0.49636,0.40542,0.50224,0.62732,0.34676,0.81688,0.0001652,0.0001652,0.0001652
93,7357.27,0.55809,0.83577,0.33684,0.82174,0.98714,0.48635,0.49637,0.44525,0.98714,0.48635,0.49637,0.40253,0.53091,0.67073,0.35082,0.82035,0.000148696,0.000148696,0.000148696
94,7403.28,0.5522,0.82724,0.33177,0.82164,0.98405,0.49066,0.49617,0.44902,0.98405,0.49066,0.49617,0.40367,0.51021,0.62526,0.3473,0.81888,0.000132193,0.000132193,0.000132193
95,7449.27,0.56529,0.83863,0.33346,0.82963,0.98291,0.49174,0.49583,0.45102,0.98291,0.49174,0.49582,0.40946,0.50414,0.60628,0.34423,0.81881,0.00011569,0.00011569,0.00011569
96,7495.31,0.55847,0.84193,0.33117,0.8249,0.98604,0.48922,0.49585,0.44755,0.98604,0.48922,0.49585,0.40605,0.52353,0.65756,0.34729,0.8199,9.91865e-05,9.91865e-05,9.91865e-05
97,7541.66,0.56007,0.829,0.33087,0.82528,0.98622,0.48958,0.49576,0.44499,0.98622,0.48958,0.49576,0.39809,0.54456,0.66322,0.35139,0.82138,8.26832e-05,8.26832e-05,8.26832e-05
98,7587.83,0.5536,0.8275,0.32783,0.82473,0.48644,0.48953,0.49587,0.44624,0.48644,0.48953,0.49587,0.40079,0.53951,0.6613,0.34686,0.82133,6.61799e-05,6.61799e-05,6.61799e-05
99,7634.35,0.54914,0.81954,0.32751,0.8247,0.48509,0.48958,0.49608,0.44733,0.48509,0.48958,0.49608,0.40536,0.52568,0.64285,0.3452,0.81957,4.96766e-05,4.96766e-05,4.96766e-05
100,7680.06,0.55062,0.81371,0.32578,0.82229,0.48575,0.48991,0.49613,0.45041,0.48575,0.48991,0.49613,0.4062,0.51362,0.61966,0.3428,0.81753,3.31733e-05,3.31733e-05,3.31733e-05
