epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6334.83,1.29424,1.94345,0.83854,1.00173,0.8405,0.84085,0.8809,0.59418,0.83259,0.81563,0.85377,0.46753,1.12114,1.51156,0.74576,0.94754,0.000481144,0.000481144,0.000481144
69,6428.89,1.27019,1.9318,0.80722,0.99154,0.81024,0.83166,0.86849,0.59151,0.80929,0.79269,0.83192,0.46131,1.09921,1.50894,0.74472,0.94972,0.000466997,0.000466997,0.000466997
70,6521.96,1.27916,1.96367,0.81282,0.99507,0.80486,0.85422,0.86702,0.58996,0.80518,0.81404,0.83422,0.46269,1.11194,1.48433,0.73789,0.95958,0.00045285,0.00045285,0.00045285
71,6616.55,1.27063,1.93671,0.81532,0.99623,0.83435,0.8264,0.86808,0.59263,0.8185,0.81429,0.84316,0.4585,1.10175,1.47752,0.75403,0.95102,0.000438703,0.000438703,0.000438703
72,6713.74,1.25024,1.91869,0.79741,0.98531,0.82131,0.84574,0.87393,0.59308,0.81153,0.82488,0.84964,0.46172,1.09118,1.47319,0.73957,0.94529,0.000424556,0.000424556,0.000424556
73,6806.91,1.26459,1.90985,0.79512,0.98924,0.81832,0.83143,0.86601,0.58796,0.80459,0.8153,0.84059,0.47181,1.10847,1.49014,0.75007,0.95902,0.000410409,0.000410409,0.000410409
74,6899.07,1.27398,1.89465,0.84997,0.99954,0.82922,0.84596,0.88148,0.59906,0.81318,0.83502,0.86134,0.47431,1.08094,1.49079,0.727,0.94121,0.000396262,0.000396262,0.000396262
75,6994.59,1.25206,1.89478,0.7961,0.98224,0.8285,0.84655,0.88415,0.59891,0.8171,0.81794,0.85284,0.4637,1.08675,1.49306,0.73669,0.9398,0.000382115,0.000382115,0.000382115
76,7089.13,1.23898,1.87349,0.7755,0.97722,0.83236,0.84697,0.87679,0.60106,0.82028,0.82292,0.8515,0.47815,1.08846,1.4746,0.72231,0.95091,0.000367967,0.000367967,0.000367967
77,7183.28,1.22822,1.85661,0.7766,0.98085,0.8199,0.84824,0.87847,0.6061,0.79741,0.8267,0.85093,0.48312,1.07565,1.4562,0.71563,0.94183,0.00035382,0.00035382,0.00035382
78,7277.14,1.23149,1.86185,0.77854,0.98366,0.83422,0.84053,0.8755,0.60266,0.81625,0.81467,0.84628,0.46723,1.08307,1.46916,0.70963,0.95166,0.000339673,0.000339673,0.000339673
79,7370.94,1.25011,1.90276,0.77989,0.98629,0.83858,0.83224,0.87422,0.60196,0.84092,0.7969,0.84738,0.46543,1.08402,1.45636,0.7242,0.94932,0.000325526,0.000325526,0.000325526
80,7467.91,1.2203,1.85178,0.76347,0.97676,0.82862,0.85604,0.87852,0.60605,0.82335,0.82006,0.85314,0.47429,1.08416,1.45354,0.71724,0.95582,0.000311379,0.000311379,0.000311379
